"PROBEID","ENTREZID"
"705","201070_x_at","23451"
"706","201071_x_at","23451"
"707","201072_s_at","6599"
"708","201073_s_at","6599"
"709","201074_at","6599"
"710","201075_s_at","6599"
"711","201076_at","4809"
"712","201077_s_at","4809"
"713","201077_s_at","302"
"714","201078_at","9375"
"715","201079_at","9144"
"716","201080_at","8396"
"717","201081_s_at","8396"
"718","201082_s_at","1639"
"719","201082_s_at","57835"
"720","201083_s_at","9774"
"721","201084_s_at","9774"
"722","201085_s_at","6651"
"723","201086_x_at","6651"
"724","201087_at","5829"
"725","201088_at","3838"
"726","201089_at","526"
"727","201090_x_at","10376"
"728","201091_s_at","11335"
"729","201092_at","5931"
"730","201093_x_at","6389"
"731","201094_at","6235"
"732","201095_at","1611"
"733","201096_s_at","378"
"734","201097_s_at","378"
"735","201098_at","9276"
"736","201099_at","8239"
"737","201100_s_at","8239"
"738","201101_s_at","9774"
"739","201102_s_at","5211"
"740","201103_x_at","25832"
"741","201103_x_at","149013"
"742","201103_x_at","200030"
"743","201103_x_at","284565"
"744","201103_x_at","400818"
"745","201103_x_at","728841"
"746","201103_x_at","100132406"
"747","201103_x_at","100288142"
"748","201104_x_at","25832"
"749","201104_x_at","200030"
"750","201104_x_at","284565"
"751","201104_x_at","400818"
"752","201104_x_at","728841"
"753","201104_x_at","100132406"
"754","201104_x_at","100288142"
"755","201104_x_at","101060226"
"756","201104_x_at","101060684"
"757","201104_x_at","101929780"
"758","201105_at","3956"
"759","201106_at","2879"
"760","201107_s_at","7057"
"761","201108_s_at","7057"
"762","201109_s_at","7057"
"763","201110_s_at","7057"
"764","201111_at","1434"
"765","201112_s_at","1434"
"766","201113_at","7284"
"767","201114_x_at","5688"
"768","201115_at","5425"
"769","201116_s_at","1363"
"770","201117_s_at","1363"
"771","201118_at","5226"
"772","201119_s_at","1351"
"773","201120_s_at","10857"
"774","201121_s_at","10857"
"775","201122_x_at","1984"
"776","201123_s_at","1984"
"777","201124_at","3693"
"778","201125_s_at","3693"
"779","201126_s_at","4245"
"780","201127_s_at","47"
"781","201128_s_at","47"
"782","201129_at","6432"
"783","201130_s_at","999"
"784","201131_s_at","999"
"785","201132_at","3188"
"786","201132_at","100529097"
"787","201133_s_at","9867"
"788","201134_x_at","1350"
"789","201135_at","1892"
"790","201136_at","5355"
"791","201137_s_at","3115"
"792","201138_s_at","6741"
"793","201139_s_at","6741"
"794","201140_s_at","5878"
"795","201141_at","10457"
"796","201142_at","1965"
"797","201143_s_at","1965"
"798","201144_s_at","1965"
"799","201145_at","10456"
"800","201146_at","4780"
"801","201147_s_at","7078"
"802","201148_s_at","7078"
"803","201149_s_at","7078"
"804","201150_s_at","7078"
"805","201151_s_at","4154"
"806","201152_s_at","4154"
"807","201153_s_at","4154"
"808","201154_x_at","6124"
"809","201154_x_at","595097"
"810","201154_x_at","595098"
"811","201154_x_at","595099"
"812","201154_x_at","595100"
"813","201155_s_at","9927"
"814","201156_s_at","5878"
"815","201157_s_at","4836"
"816","201158_at","4836"
"817","201159_s_at","4836"
"818","201160_s_at","8531"
"819","201161_s_at","8531"
"820","201162_at","3490"
"821","201163_s_at","3490"
"822","201164_s_at","9698"
"823","201165_s_at","9698"
"824","201166_s_at","9698"
"825","201167_x_at","396"
"826","201168_x_at","396"
"827","201169_s_at","8553"
"828","201170_s_at","8553"
"829","201171_at","8992"
"830","201172_x_at","8992"
"831","201173_x_at","10726"
"832","201174_s_at","54386"
"833","201175_at","51075"
"834","201176_s_at","372"
"835","201177_s_at","10054"
"836","201178_at","25793"
"837","201179_s_at","2773"
"838","201180_s_at","2773"
"839","201181_at","2773"
"840","201182_s_at","1108"
"841","201183_s_at","1108"
"842","201184_s_at","1108"
"843","201185_at","5654"
"844","201186_at","4043"
"845","201187_s_at","3710"
"846","201188_s_at","3710"
"847","201189_s_at","3710"
"848","201190_s_at","5306"
"849","201191_at","5306"
"850","201192_s_at","5306"
"851","201193_at","3417"
"852","201194_at","6415"
"853","201195_s_at","8140"
"854","201196_s_at","262"
"855","201197_at","262"
"856","201198_s_at","5707"
"857","201199_s_at","5707"
"858","201200_at","8804"
"859","201201_at","1476"
"860","201202_at","5111"
"861","201203_s_at","6238"
"862","201204_s_at","6238"
"863","201205_at","6238"
"864","201206_s_at","6238"
"865","201207_at","7126"
"866","201208_s_at","7126"
"867","201209_at","3065"
"868","201210_at","1654"
"869","201211_s_at","1654"
"870","201212_at","5641"
"871","201213_at","5510"
"872","201214_s_at","5510"
"873","201215_at","5358"
"874","201216_at","10961"
"875","201217_x_at","6122"
"876","201217_x_at","116936"
"877","201217_x_at","116938"
"878","201218_at","1488"
"879","201219_at","1488"
"880","201220_x_at","1488"
"881","201221_s_at","6625"
"882","201222_s_at","5887"
"883","201223_s_at","5887"
"884","201224_s_at","10250"
